game_id,turn_number,player,roll_number,dice,category,score,agent1_name,agent2_name,winner_name,agent1_score,agent2_score
1,1,A1,3,"[1, 6, 6, 6, 6]",Brelan,25,A1,A2,,,
1,2,A2,3,"[6, 6, 6, 6, 3]",Carré,27,A1,A2,,,
1,3,A1,3,"[1, 1, 6, 1, 1]",Carré,10,A1,A2,,,
1,4,A2,3,"[4, 5, 5, 1, 4]",Chance,19,A1,A2,,,
1,5,A1,3,"[1, 3, 5, 1, 1]",Chance,11,A1,A2,,,
1,6,A2,3,"[6, 1, 1, 4, 5]",Six,6,A1,A2,,,
1,7,A1,3,"[4, 2, 4, 3, 4]",Quatre,12,A1,A2,,,
1,8,A2,3,"[2, 6, 3, 6, 1]",Trois,3,A1,A2,,,
1,9,A1,3,"[4, 3, 6, 1, 4]",Six,6,A1,A2,,,
1,10,A2,3,"[5, 4, 1, 1, 6]",Cinq,5,A1,A2,,,
1,11,A1,3,"[5, 6, 4, 6, 4]",Cinq,5,A1,A2,,,
1,12,A2,3,"[4, 3, 1, 4, 5]",Quatre,8,A1,A2,,,
1,13,A1,3,"[5, 6, 6, 2, 5]",Deux,2,A1,A2,,,
1,14,A2,3,"[6, 2, 6, 6, 2]",Full,25,A1,A2,,,
1,15,A1,3,"[5, 5, 4, 5, 5]",As,0,A1,A2,,,
1,16,A2,3,"[1, 1, 2, 5, 5]",As,2,A1,A2,,,
1,17,A1,3,"[6, 6, 6, 3, 6]",Trois,3,A1,A2,,,
1,18,A2,3,"[2, 6, 2, 1, 2]",Brelan,13,A1,A2,,,
1,19,A1,3,"[2, 2, 4, 2, 6]",Full,0,A1,A2,,,
1,20,A2,3,"[6, 5, 1, 1, 1]",Deux,0,A1,A2,,,
1,21,A1,3,"[6, 6, 6, 4, 4]",Petite Suite,0,A1,A2,,,
1,22,A2,3,"[3, 3, 3, 5, 3]",Petite Suite,0,A1,A2,,,
1,23,A1,3,"[1, 1, 1, 1, 1]",Yams,50,A1,A2,,,
1,24,A2,3,"[4, 3, 6, 5, 5]",Yams,0,A1,A2,,,
1,25,A1,3,"[6, 2, 6, 1, 2]",Grande Suite,0,A1,A2,,,
1,26,A2,3,"[3, 3, 3, 4, 3]",Grande Suite,0,A1,A2,,,
1,END,SUMMARY,,,TOTALS,,A1,A2,A1,124,108
2,1,A1,3,"[2, 1, 2, 2, 4]",Brelan,11,A1,A2,,,
2,2,A2,3,"[2, 6, 2, 6, 3]",Chance,19,A1,A2,,,
2,3,A1,3,"[1, 2, 6, 1, 1]",Chance,11,A1,A2,,,
2,4,A2,3,"[1, 2, 2, 2, 5]",Brelan,12,A1,A2,,,
2,5,A1,3,"[4, 1, 4, 4, 3]",Quatre,12,A1,A2,,,
2,6,A2,3,"[5, 6, 5, 5, 6]",Full,25,A1,A2,,,
2,7,A1,3,"[2, 3, 3, 3, 3]",Carré,14,A1,A2,,,
2,8,A2,3,"[2, 6, 6, 5, 2]",Six,12,A1,A2,,,
2,9,A1,3,"[3, 2, 6, 3, 2]",Trois,6,A1,A2,,,
2,10,A2,3,"[4, 5, 5, 5, 3]",Cinq,15,A1,A2,,,
2,11,A1,3,"[1, 1, 1, 1, 6]",Six,6,A1,A2,,,
2,12,A2,3,"[6, 2, 5, 6, 6]",Deux,2,A1,A2,,,
2,13,A1,3,"[5, 5, 2, 5, 5]",Cinq,20,A1,A2,,,
2,14,A2,3,"[1, 5, 1, 2, 3]",Trois,3,A1,A2,,,
2,15,A1,3,"[6, 6, 6, 6, 3]",As,0,A1,A2,,,
2,16,A2,3,"[1, 4, 4, 6, 4]",Quatre,12,A1,A2,,,
2,17,A1,3,"[6, 4, 4, 4, 4]",Deux,0,A1,A2,,,
2,18,A2,3,"[5, 3, 2, 6, 2]",As,0,A1,A2,,,
2,19,A1,3,"[4, 2, 2, 2, 4]",Full,25,A1,A2,,,
2,20,A2,3,"[1, 6, 2, 1, 4]",Petite Suite,0,A1,A2,,,
2,21,A1,3,"[3, 3, 3, 4, 3]",Petite Suite,0,A1,A2,,,
2,22,A2,3,"[6, 3, 6, 4, 1]",Carré,0,A1,A2,,,
2,23,A1,3,"[6, 6, 5, 1, 6]",Grande Suite,0,A1,A2,,,
2,24,A2,3,"[2, 4, 4, 1, 4]",Grande Suite,0,A1,A2,,,
2,25,A1,3,"[3, 4, 3, 3, 3]",Yams,0,A1,A2,,,
2,26,A2,3,"[2, 1, 2, 2, 2]",Yams,0,A1,A2,,,
2,END,SUMMARY,,,TOTALS,,A1,A2,A1,105,100
3,1,A1,3,"[3, 3, 5, 6, 3]",Brelan,20,A1,A2,,,
3,2,A2,3,"[5, 5, 4, 6, 3]",Petite Suite,30,A1,A2,,,
3,3,A1,3,"[6, 2, 6, 6, 2]",Full,25,A1,A2,,,
3,4,A2,3,"[5, 4, 3, 3, 3]",Brelan,18,A1,A2,,,
3,5,A1,3,"[3, 6, 3, 6, 4]",Chance,22,A1,A2,,,
3,6,A2,3,"[4, 5, 2, 5, 6]",Chance,22,A1,A2,,,
3,7,A1,3,"[5, 5, 2, 5, 4]",Cinq,15,A1,A2,,,
3,8,A2,3,"[3, 6, 2, 6, 6]",Six,18,A1,A2,,,
3,9,A1,3,"[1, 3, 3, 4, 3]",Trois,9,A1,A2,,,
3,10,A2,3,"[6, 6, 6, 3, 6]",Carré,27,A1,A2,,,
3,11,A1,3,"[3, 2, 2, 6, 2]",Deux,6,A1,A2,,,
3,12,A2,3,"[6, 1, 6, 6, 6]",As,1,A1,A2,,,
3,13,A1,3,"[5, 5, 5, 5, 4]",Carré,24,A1,A2,,,
3,14,A2,3,"[1, 1, 1, 5, 6]",Cinq,5,A1,A2,,,
3,15,A1,3,"[5, 4, 5, 6, 4]",Quatre,8,A1,A2,,,
3,16,A2,3,"[6, 4, 2, 3, 4]",Quatre,8,A1,A2,,,
3,17,A1,3,"[3, 6, 3, 3, 3]",Six,6,A1,A2,,,
3,18,A2,3,"[1, 1, 1, 1, 1]",Yams,50,A1,A2,,,
3,19,A1,3,"[5, 5, 5, 3, 6]",As,0,A1,A2,,,
3,20,A2,3,"[5, 4, 5, 4, 2]",Deux,2,A1,A2,,,
3,21,A1,3,"[3, 6, 5, 5, 1]",Petite Suite,0,A1,A2,,,
3,22,A2,3,"[6, 6, 6, 6, 5]",Trois,0,A1,A2,,,
3,23,A1,3,"[2, 3, 2, 2, 2]",Grande Suite,0,A1,A2,,,
3,24,A2,3,"[1, 1, 3, 6, 6]",Full,0,A1,A2,,,
3,25,A1,3,"[2, 5, 3, 5, 5]",Yams,0,A1,A2,,,
3,26,A2,3,"[3, 4, 5, 4, 4]",Grande Suite,0,A1,A2,,,
3,END,SUMMARY,,,TOTALS,,A1,A2,A2,135,181
4,1,A1,3,"[6, 2, 2, 2, 3]",Brelan,15,A1,A2,,,
4,2,A2,3,"[3, 3, 3, 4, 5]",Brelan,18,A1,A2,,,
4,3,A1,3,"[6, 5, 5, 5, 5]",Carré,26,A1,A2,,,
4,4,A2,3,"[5, 2, 2, 2, 3]",Chance,14,A1,A2,,,
4,5,A1,3,"[6, 1, 6, 3, 6]",Chance,22,A1,A2,,,
4,6,A2,3,"[2, 5, 4, 4, 1]",Quatre,8,A1,A2,,,
4,7,A1,3,"[4, 3, 3, 4, 6]",Quatre,8,A1,A2,,,
4,8,A2,3,"[4, 4, 2, 4, 6]",Six,6,A1,A2,,,
4,9,A1,3,"[4, 4, 6, 4, 6]",Full,25,A1,A2,,,
4,10,A2,3,"[2, 2, 6, 1, 6]",Deux,4,A1,A2,,,
4,11,A1,3,"[1, 6, 5, 6, 6]",Six,18,A1,A2,,,
4,12,A2,3,"[4, 6, 6, 6, 6]",Carré,28,A1,A2,,,
4,13,A1,3,"[4, 4, 4, 4, 4]",Yams,50,A1,A2,,,
4,14,A2,3,"[3, 2, 5, 1, 3]",Trois,6,A1,A2,,,
4,15,A1,3,"[5, 5, 2, 1, 5]",Cinq,15,A1,A2,,,
4,16,A2,3,"[6, 4, 1, 3, 2]",Petite Suite,30,A1,A2,,,
4,17,A1,3,"[3, 3, 3, 5, 4]",Trois,9,A1,A2,,,
4,18,A2,3,"[5, 5, 6, 5, 5]",Cinq,20,A1,A2,,,
4,19,A1,3,"[5, 5, 4, 5, 5]",As,0,A1,A2,,,
4,20,A2,3,"[4, 3, 3, 5, 5]",As,0,A1,A2,,,
4,21,A1,3,"[4, 1, 4, 4, 4]",Deux,0,A1,A2,,,
4,22,A2,3,"[3, 5, 1, 3, 4]",Full,0,A1,A2,,,
4,23,A1,3,"[6, 6, 6, 1, 1]",Petite Suite,0,A1,A2,,,
4,24,A2,3,"[5, 6, 1, 2, 4]",Grande Suite,0,A1,A2,,,
4,25,A1,3,"[4, 3, 4, 4, 4]",Grande Suite,0,A1,A2,,,
4,26,A2,3,"[5, 2, 1, 4, 4]",Yams,0,A1,A2,,,
4,END,SUMMARY,,,TOTALS,,A1,A2,A1,188,134
5,1,A1,3,"[2, 2, 5, 2, 6]",Brelan,17,A1,A2,,,
5,2,A2,3,"[1, 1, 3, 1, 1]",Carré,7,A1,A2,,,
5,3,A1,3,"[3, 4, 6, 4, 1]",Chance,18,A1,A2,,,
5,4,A2,3,"[1, 3, 2, 3, 4]",Petite Suite,30,A1,A2,,,
5,5,A1,3,"[3, 3, 2, 4, 1]",Petite Suite,30,A1,A2,,,
5,6,A2,3,"[4, 6, 6, 2, 6]",Brelan,24,A1,A2,,,
5,7,A1,3,"[3, 2, 2, 2, 2]",Carré,11,A1,A2,,,
5,8,A2,3,"[1, 4, 2, 2, 4]",Chance,13,A1,A2,,,
5,9,A1,3,"[6, 6, 4, 6, 6]",Six,24,A1,A2,,,
5,10,A2,3,"[5, 3, 1, 1, 4]",Cinq,5,A1,A2,,,
5,11,A1,3,"[3, 2, 2, 5, 3]",Trois,6,A1,A2,,,
5,12,A2,3,"[2, 5, 1, 2, 2]",Deux,6,A1,A2,,,
5,13,A1,3,"[3, 3, 2, 3, 2]",Full,25,A1,A2,,,
5,14,A2,3,"[3, 6, 6, 5, 6]",Six,18,A1,A2,,,
5,15,A1,3,"[3, 3, 6, 3, 2]",Deux,2,A1,A2,,,
5,16,A2,3,"[4, 3, 4, 3, 5]",Quatre,8,A1,A2,,,
5,17,A1,3,"[5, 2, 2, 2, 2]",Cinq,5,A1,A2,,,
5,18,A2,3,"[6, 6, 6, 1, 6]",As,1,A1,A2,,,
5,19,A1,3,"[1, 1, 1, 4, 5]",Quatre,4,A1,A2,,,
5,20,A2,3,"[6, 2, 4, 2, 1]",Trois,0,A1,A2,,,
5,21,A1,3,"[2, 2, 3, 4, 4]",As,0,A1,A2,,,
5,22,A2,3,"[4, 5, 2, 3, 4]",Grande Suite,0,A1,A2,,,
5,23,A1,3,"[6, 6, 6, 5, 6]",Grande Suite,0,A1,A2,,,
