game_id,turn_number,player,roll_number,dice,category,score,agent1_name,agent2_name,winner_name,agent1_score,agent2_score
1,1,A1,3,"[5, 5, 3, 2, 1]",Yams,0,A1,A2,,,
1,2,A2,3,"[6, 6, 6, 6, 2]",Carré,26,A1,A2,,,
1,3,A1,3,"[6, 5, 2, 2, 3]",Cinq,5,A1,A2,,,
1,4,A2,3,"[2, 5, 6, 5, 1]",Chance,19,A1,A2,,,
1,5,A1,3,"[4, 5, 3, 5, 3]",Six,0,A1,A2,,,
1,6,A2,3,"[3, 2, 5, 5, 6]",Cinq,10,A1,A2,,,
1,7,A1,3,"[4, 1, 2, 4, 6]",Trois,0,A1,A2,,,
1,8,A2,3,"[3, 3, 3, 6, 3]",Brelan,18,A1,A2,,,
1,9,A1,3,"[5, 4, 6, 3, 2]",As,0,A1,A2,,,
1,10,A2,3,"[2, 5, 6, 6, 3]",Six,12,A1,A2,,,
1,11,A1,3,"[6, 2, 3, 2, 5]",Carré,0,A1,A2,,,
1,12,A2,3,"[3, 2, 2, 3, 5]",Trois,6,A1,A2,,,
1,13,A1,3,"[4, 3, 6, 2, 3]",Brelan,0,A1,A2,,,
1,14,A2,3,"[6, 4, 4, 4, 4]",Quatre,16,A1,A2,,,
1,15,A1,3,"[3, 1, 2, 1, 2]",Petite Suite,0,A1,A2,,,
1,16,A2,3,"[1, 5, 5, 5, 5]",As,1,A1,A2,,,
1,17,A1,3,"[1, 2, 4, 6, 4]",Chance,17,A1,A2,,,
1,18,A2,3,"[3, 1, 1, 1, 4]",Deux,0,A1,A2,,,
1,19,A1,3,"[6, 5, 2, 6, 5]",Grande Suite,0,A1,A2,,,
1,20,A2,3,"[2, 4, 1, 1, 3]",Petite Suite,30,A1,A2,,,
1,21,A1,3,"[3, 6, 6, 6, 3]",Deux,0,A1,A2,,,
1,22,A2,3,"[3, 6, 4, 4, 6]",Full,0,A1,A2,,,
1,23,A1,3,"[4, 3, 2, 5, 2]",Full,0,A1,A2,,,
1,24,A2,3,"[4, 4, 4, 6, 4]",Grande Suite,0,A1,A2,,,
1,25,A1,3,"[1, 4, 3, 5, 1]",Quatre,4,A1,A2,,,
1,26,A2,3,"[2, 6, 4, 4, 6]",Yams,0,A1,A2,,,
1,END,SUMMARY,,,TOTALS,,A1,A2,A2,26,138
2,1,A1,3,"[2, 6, 1, 3, 5]",As,1,A1,A2,,,
2,2,A2,3,"[3, 3, 3, 3, 3]",Yams,50,A1,A2,,,
2,3,A1,3,"[3, 5, 1, 4, 6]",Cinq,5,A1,A2,,,
2,4,A2,3,"[2, 6, 6, 5, 2]",Chance,21,A1,A2,,,
2,5,A1,3,"[1, 2, 5, 5, 3]",Deux,2,A1,A2,,,
2,6,A2,3,"[4, 4, 1, 1, 1]",Full,25,A1,A2,,,
2,7,A1,3,"[5, 5, 5, 4, 6]",Six,6,A1,A2,,,
2,8,A2,3,"[2, 4, 6, 5, 5]",Cinq,10,A1,A2,,,
2,9,A1,3,"[4, 4, 4, 6, 3]",Chance,21,A1,A2,,,
2,10,A2,3,"[2, 2, 2, 2, 3]",Carré,11,A1,A2,,,
2,11,A1,3,"[5, 5, 3, 4, 5]",Trois,3,A1,A2,,,
2,12,A2,3,"[1, 5, 5, 5, 2]",Brelan,18,A1,A2,,,
2,13,A1,3,"[5, 5, 4, 5, 1]",Petite Suite,0,A1,A2,,,
2,14,A2,3,"[1, 4, 3, 6, 2]",Petite Suite,30,A1,A2,,,
2,15,A1,3,"[6, 5, 4, 1, 1]",Yams,0,A1,A2,,,
2,16,A2,3,"[1, 3, 6, 1, 6]",Six,12,A1,A2,,,
2,17,A1,3,"[1, 5, 4, 1, 5]",Carré,0,A1,A2,,,
2,18,A2,3,"[6, 6, 1, 6, 6]",As,1,A1,A2,,,
2,19,A1,3,"[5, 2, 4, 6, 6]",Grande Suite,0,A1,A2,,,
2,20,A2,3,"[3, 1, 1, 1, 1]",Trois,3,A1,A2,,,
2,21,A1,3,"[4, 5, 4, 4, 5]",Brelan,22,A1,A2,,,
2,22,A2,3,"[6, 1, 4, 6, 1]",Quatre,4,A1,A2,,,
2,23,A1,3,"[5, 6, 1, 2, 6]",Full,0,A1,A2,,,
2,24,A2,3,"[5, 3, 3, 3, 2]",Deux,2,A1,A2,,,
2,25,A1,3,"[1, 1, 5, 3, 6]",Quatre,0,A1,A2,,,
